order	content	target_cat	gripper_cat	mechanism_cat
​1	农业产业化经营水平得到提高，农业效益不断增加，农业增加值年均增长５畅８％	经济	产业	供给型
​2	以养老、失业、医疗等为主要内容的城乡社会保障体系框架基本形成，积极实施了再就业工程，确保了下岗职工的基本生活和离退休人员养老金足额发放	社会	民生	供给型
​3	农村改革和粮食流通体制改革取得显著成效	经济	产业	环境型
​4	城乡面貌发生显著变化	社会	民生	环境型
​5	完成递铺、孝丰、梅溪等乡镇的区域调整	政治	土地	环境型
​6	加大了环境综合治理工作力度，城乡居民文明意识明显提高	生态	民生	供给型
​7	全县实现了通乡镇有线广播电视光缆联网	社会	民生	供给型
​8	城乡居民生活水平显著提高	社会	民生	需求型
​9	全县城乡居民收入逐年增加，消费需求平稳增长	经济	资金	需求型
​10	城镇居民人均可支配收入年均增长７畅４％，农民人均纯收入年均增长８畅４％，全社会消费品零售总额年均增长１５％	经济	资金	需求型
​11	居住条件进一步改善，城镇居民人均居住面积２２畅３平方米，比“八五”期末增长６畅４平方米，农民人均生活用房面积４６畅１平方米，比“八五”期末增加１２畅３平方米	社会	民生	供给型
​12	农民人均纯收入４０９７元，增长９畅１％	经济	资金	需求型
​13	（一）农业基础地位进一步加强，促进了农业增效、农民增收	经济	产业	供给型
​14	农业结构进一步优化	经济	产业	环境型
​15	在稳定粮食生产能力的基础上，科学规划山区、平原、丘陵三个农业生产区，分区进行结构调整	经济	土地	环境型
​16	积极鼓励多种所有制、多种形式兴办龙头企业，全县销售收入１０００万元以上的农业龙头企业达到１２家，其中东光、坚安、春晖、竹木开发公司成为省级农业龙头企业	经济	产业	环境型
​17	大力培育农民营销大户，提高农业组织化和市场化程度	经济	产业	供给型
​18	全县涌现农产品营销大户１万余户，其中年销售收入５０万元以上的７３户，有各类中介服务组织１８个	经济	产业	环境型
​19	继续实施品牌战略，制定了安吉白茶、冬笋等农产品地方标准，１６个名特优农产品新注册了商标，安吉白茶在中国国际茶博览会上再获金奖	经济	产业	环境型
​20	加强了与外地大市场、大企业的联系，成功举办首届农业科技经贸洽谈会	经济	科创	需求型
​21	农业基础设施建设进一步完善	经济	土地	供给型
​22	完成了全县基本农田保护区划区定界工作	生态	土地	环境型
